year,IdealPointFP,ccode
1995,3.081775,2
1996,3.020177,2
1997,3.034633,2
1998,2.791758,2
1999,2.611502,2
2000,2.586393,2
2001,2.574176,2
2002,2.65728,2
2003,2.779332,2
2004,2.70108,2
2005,2.748273,2
2006,2.695772,2
2007,2.682045,2
2008,2.60564,2
2009,2.395813,2
2010,2.400529,2
2011,2.429,2
2012,2.406581,2
2013,2.511044,2
2014,2.477007,2
2015,2.446909,2
2016,2.428575,2
2017,2.547005,2
2018,2.694519,2
2019,2.572579,2
2020,2.565233,2
2021,2.551425,2
2022,2.196091,2
2023,2.264812,2
2024,2.097452,2
1995,1.444287,20
1996,1.314466,20
1997,1.143622,20
1998,1.176312,20
1999,1.156441,20
2000,1.110704,20
2001,1.157405,20
2002,1.189068,20
2003,1.124765,20
2004,1.219056,20
2005,1.303682,20
2006,1.386863,20
2007,1.516854,20
2008,1.445291,20
2009,1.495512,20
2010,1.449053,20
2011,1.80961,20
2012,1.857196,20
2013,1.811535,20
2014,1.75998,20
2015,1.733261,20
2016,1.5428,20
2017,1.408472,20
2018,1.339178,20
2019,1.234205,20
2020,1.28809,20
2021,1.280577,20
2022,1.275667,20
2023,1.163243,20
2024,1.060215,20
1995,0.2780582,31
1996,0.05457559,31
1997,-0.1455221,31
1998,-0.164619,31
1999,-0.1439845,31
2000,-0.2841987,31
2001,-0.1762752,31
2002,-0.2923145,31
2003,-0.2758124,31
2004,-0.4369472,31
2005,-0.4704794,31
2006,-0.2460043,31
2007,-0.2665484,31
2008,-0.2927173,31
2009,-0.3896335,31
2010,-0.2740984,31
2011,-0.2920606,31
2012,-0.2634405,31
2013,-0.2692994,31
2014,-0.2880242,31
2015,-0.3310331,31
2016,-0.4383613,31
2017,-0.4637278,31
2018,-0.2417417,31
2019,-0.3092777,31
2020,-0.2575269,31
2021,-0.3952561,31
2022,-0.2701379,31
2023,-0.1141457,31
2024,-0.08941131,31
1995,-1.915406,40
1996,-2.001918,40
1997,-1.93933,40
1998,-1.532283,40
1999,-1.346267,40
2000,-1.070584,40
2001,-1.096928,40
2002,-0.9190957,40
2003,-1.313365,40
2004,-1.139539,40
2005,-1.268865,40
2006,-1.030566,40
2007,-1.183628,40
2008,-1.192952,40
2009,-1.444714,40
2010,-1.355554,40
2011,-1.70814,40
2012,-1.619152,40
2013,-1.591818,40
2014,-1.646788,40
2015,-1.708858,40
2016,-1.776817,40
2017,-1.773036,40
2018,-1.695047,40
2019,-1.569745,40
2020,-1.64135,40
2021,-1.685514,40
2022,-1.3521,40
2023,-1.047208,40
2024,-1.293402,40
1995,-0.2433168,41
1996,-0.1902447,41
1997,-0.2415033,41
1998,-0.4144547,41
1999,-0.3578004,41
2000,-0.3276283,41
2001,-0.4642343,41
2002,-0.8250926,41
2003,-0.6984856,41
2004,0.407233,41
2005,-0.07982696,41
2006,-0.1085281,41
2007,-0.5187396,41
2008,-0.2628846,41
2009,-0.3956381,41
2010,-0.5944859,41
2011,-0.1419232,41
2012,-0.3414011,41
2013,-0.3147848,41
2014,-0.259301,41
2015,-0.24259,41
2016,-0.2267441,41
2017,-0.2032177,41
2018,0.0972876,41
2019,0.2279734,41
2020,0.1297145,41
2021,-0.05815281,41
2022,-0.1410156,41
2023,-0.1831291,41
2024,-0.2087286,41
1995,-0.06740475,42
1996,-0.06740475,42
1997,-0.09255229,42
1998,-0.3492097,42
1999,-0.297793,42
2000,-0.228024,42
2001,-0.2355262,42
2002,-0.2544637,42
2003,0.0356103,42
2004,0.00655279,42
2005,0.05351031,42
2006,0.05071474,42
2007,-0.5046,42
2008,-0.4036712,42
2009,-0.4345697,42
2010,-0.506481,42
2011,-0.5116945,42
2012,-0.3967272,42
2013,-0.3606186,42
2014,-0.5095803,42
2015,-0.6403047,42
2016,-0.4280019,42
2017,-0.6242886,42
2018,-0.2361021,42
2019,-0.2719986,42
2020,-0.3651356,42
2021,-0.1678148,42
2022,-0.05521487,42
2023,-0.1357544,42
2024,-0.03307013,42
1995,-0.07197976,51
1996,-0.0986369,51
1997,-0.2352994,51
1998,-0.3087101,51
1999,-0.3262841,51
2000,-0.3130005,51
2001,-0.3738441,51
2002,-0.4814594,51
2003,-0.4960857,51
2004,-0.560957,51
2005,-0.5865564,51
2006,-0.4990072,51
2007,-0.6001151,51
2008,-0.6031135,51
2009,-0.3843808,51
2010,-0.4150597,51
2011,-0.379432,51
2012,-0.4750844,51
2013,-0.4111073,51
2014,-0.5245579,51
2015,-0.4529325,51
2016,-0.358423,51
2017,-0.4242168,51
2018,-0.3269084,51
2019,-0.4584364,51
2020,-0.4091499,51
2021,-0.3015839,51
2022,-0.2870902,51
2023,-0.2489901,51
2024,-0.08903752,51
1995,-0.2262469,52
1996,-0.1709859,52
1997,-0.232408,52
1998,-0.1942953,52
1999,-0.3052518,52
2000,-0.2224411,52
2001,-0.2294482,52
2002,-0.4019065,52
2003,-0.509021,52
2004,-0.508143,52
2005,-0.4930047,52
2006,-0.5372033,52
2007,-0.593364,52
2008,-0.495857,52
2009,-0.4837492,52
2010,-0.5170313,52
2011,-0.6000718,52
2012,-0.4894052,52
2013,-0.4335525,52
2014,-0.4735857,52
2015,-0.5314235,52
2016,-0.5245046,52
2017,-0.5999767,52
2018,-0.5321109,52
2019,-0.4136589,52
2020,-0.4624041,52
2021,-0.399737,52
2022,-0.4705795,52
2023,-0.4300878,52
2024,-0.3630975,52
1995,0.1394409,53
1996,0.07114823,53
1997,-0.2051278,53
1998,-0.1269707,53
1999,-0.2385515,53
2000,-0.284318,53
2001,-0.3865646,53
2002,-0.2757403,53
2003,-0.4331338,53
2004,-0.5605805,53
2005,-0.5854973,53
2006,-0.4935301,53
2007,-0.6029111,53
2008,-0.567682,53
2009,-0.5669504,53
2010,-0.508412,53
2011,-0.3898339,53
2012,-0.3551373,53
2013,-0.463281,53
2014,-0.410824,53
2015,-0.3949098,53
2016,-0.352111,53
2017,-0.3878821,53
2018,-0.3001428,53
2019,-0.2438252,53
2020,-0.2750996,53
2021,-0.2934024,53
2022,-0.2839432,53
2023,-0.2366259,53
2024,-0.1707879,53
1995,0.4247789,54
1996,-0.1619051,54
1997,-0.363259,54
1998,-0.3650759,54
1999,-0.3814068,54
2000,-0.1938868,54
2001,-0.3721377,54
2002,-0.6189915,54
2003,-0.617197,54
2004,-0.5600426,54
2005,-0.532871,54
2006,-0.5205203,54
2007,-0.5958239,54
2008,-0.621973,54
2009,-0.573793,54
2010,-0.5022704,54
2011,-0.62864,54
2012,-0.5764412,54
2013,-0.1998208,54
2014,-0.2765006,54
2015,-0.3453954,54
2016,-0.4025822,54
2017,-0.4987293,54
2018,-0.4234176,54
2019,-0.02984885,54
2020,-0.6188615,54
2021,-0.5064552,54
2022,-0.2992926,54
2023,-0.3017286,54
2024,-0.4049663,54
1995,0.2857,55
1996,0.03427855,55
1997,-0.3283618,55
1998,-0.1846163,55
1999,-0.2803215,55
2000,-0.2879779,55
2001,-0.281985,55
2002,-0.4031651,55
2003,-0.5446363,55
2004,0.2334452,55
2005,0.04763496,55
2006,-0.6092842,55
2007,-0.3395542,55
2008,-0.4602743,55
2009,-0.4721044,55
2010,-0.5619646,55
2011,-0.573823,55
2012,-0.449118,55
2013,-0.1924148,55
2014,-0.4747456,55
2015,-0.4823719,55
2016,-0.5012397,55
2017,-0.5003474,55
2018,-0.3774697,55
2019,-0.5499416,55
2020,-0.6455481,55
2021,-0.5754443,55
2022,-0.4176379,55
2023,-0.4042355,55
2024,-0.4672079,55
1995,-0.2484857,56
1996,-0.2244148,56
1997,-0.6700197,56
1998,-0.5471867,56
1999,-0.7546634,56
2000,-0.6745961,56
2001,-0.727599,56
2002,-0.8864665,56
2003,-0.7514034,56
2004,-0.59659,56
2005,-0.670726,56
2006,-0.7312666,56
2007,-0.6220055,56
2008,-0.3689306,56
2009,-0.262993,56
2010,-0.3156148,56
2011,-0.2331919,56
2012,-0.5566601,56
2013,-0.577513,56
2014,-0.6686812,56
2015,-0.6122299,56
2016,-0.4582645,56
2017,-0.423756,56
2018,-0.3946459,56
2019,-0.4125861,56
2020,-0.4435861,56
2021,-0.4329719,56
2022,-0.3340452,56
2023,-0.4237181,56
2024,-0.478116,56
1995,0.133292,57
1996,0.009008902,57
1997,-0.2511957,57
1998,-0.5920724,57
1999,-0.000543687,57
2000,-0.3145685,57
2001,-0.3163949,57
2002,0.1051642,57
2003,-0.004543409,57
2004,-0.2713959,57
2005,-0.2609536,57
2006,-0.6523321,57
2007,-0.6159335,57
2008,-0.6585046,57
2009,-0.5842269,57
2010,-0.673077,57
2011,-0.6100145,57
2012,-0.6495345,57
2013,-0.578167,57
2014,-0.6198639,57
2015,-0.5984889,57
2016,-0.5296346,57
2017,-0.5802159,57
2018,-0.5219889,57
2019,-0.6031117,57
2020,-0.54794,57
2021,-0.4452929,57
2022,-0.3995575,57
2023,-0.4329843,57
2024,-0.4420546,57
1995,0.2834425,58
1996,-0.1017025,58
1997,-0.3100159,58
1998,-0.3280316,58
1999,-0.4335818,58
2000,-0.5306447,58
2001,-0.6868172,58
2002,-0.4982074,58
2003,-0.4992143,58
2004,-0.4352928,58
2005,-0.553347,58
2006,-0.5023118,58
2007,-0.5979664,58
2008,-0.6090559,58
2009,-0.4242528,58
2010,-0.5413695,58
2011,-0.5160248,58
2012,-0.4872107,58
2013,-0.5672502,58
2014,-0.6356734,58
2015,-0.4849514,58
2016,-0.4924017,58
2017,-0.4274626,58
2018,-0.1606018,58
2019,-0.5263274,58
2020,-0.4908804,58
2021,-0.3661413,58
2022,-0.3499629,58
2023,-0.4142232,58
2024,-0.389192,58
1995,-0.1538763,60
1996,-0.1343635,60
1997,-0.5565491,60
1998,-0.4929698,60
1999,-0.6919916,60
2000,-0.6366053,60
2001,-0.4873337,60
2002,-0.6058944,60
2003,-0.3602281,60
2004,-0.5369073,60
2005,-0.2481663,60
2006,-0.5764574,60
2007,-0.6092036,60
2008,-0.5609915,60
2009,-0.430653,60
2010,-0.5166697,60
2011,-0.6370246,60
2012,-0.4537203,60
2013,-0.5116201,60
2014,-0.4597788,60
2015,-0.4923721,60
2016,-0.2832151,60
2017,-0.4344453,60
2018,-0.3343508,60
2019,-0.4104563,60
2020,-0.41193,60
2021,-0.5299586,60
2022,-0.4394499,60
2023,-0.3863618,60
2024,-0.3357649,60
1995,-0.4784029,70
1996,-0.3499798,70
1997,-0.3599929,70
1998,-0.6130874,70
1999,-0.4413512,70
2000,-0.4322157,70
2001,-0.5357806,70
2002,-0.3083966,70
2003,-0.2800977,70
2004,-0.1416665,70
2005,-0.08378715,70
2006,-0.1018652,70
2007,-0.1150498,70
2008,-0.1416315,70
2009,-0.1027486,70
2010,-0.02896484,70
2011,-0.08701707,70
2012,0.004672987,70
2013,-0.1572878,70
2014,-0.0787738,70
2015,-0.1554647,70
2016,-0.1102188,70
2017,0.04732376,70
2018,0.007331963,70
2019,-0.000676085,70
2020,-0.00384904,70
2021,-0.0406125,70
2022,-0.02674569,70
2023,-0.03087859,70
2024,-0.1447948,70
1995,0.09888105,80
1996,-0.05247554,80
1997,-0.1920156,80
1998,-0.4664352,80
1999,-0.372646,80
2000,-0.3177438,80
2001,-0.2536603,80
2002,-0.3701236,80
2003,-0.5451419,80
2004,-0.494962,80
2005,-0.4440642,80
2006,-0.4298733,80
2007,-0.3936738,80
2008,-0.2840422,80
2009,-0.3401577,80
2010,-0.4150805,80
2011,-0.3469495,80
2012,-0.4284595,80
2013,-0.4272829,80
2014,-0.3910178,80
2015,-0.3958314,80
2016,-0.2710495,80
2017,-0.4343894,80
2018,-0.2126993,80
2019,-0.2020036,80
2020,-0.3177798,80
2021,-0.3363443,80
2022,-0.3283958,80
2023,-0.3386647,80
2024,-0.2580483,80
1995,-0.2459569,90
1996,0.09208562,90
1997,-0.05111238,90
1998,0.003397019,90
1999,0.1185865,90
2000,0.07357518,90
2001,-0.01013306,90
2002,0.09201151,90
2003,0.1573292,90
2004,0.004226819,90
2005,0.05378191,90
2006,-0.08387517,90
2007,-0.1144526,90
2008,-0.1715791,90
2009,-0.1992155,90
2010,-0.139647,90
2011,-0.1996636,90
2012,-0.08709044,90
2013,-0.1320121,90
2014,-0.181579,90
2015,-0.2019021,90
2016,0.00722877,90
2017,0.06159703,90
2018,0.2337777,90
2019,0.09702099,90
2020,0.0813264,90
2021,-0.03207777,90
2022,0.1916616,90
2023,0.09942307,90
2024,0.1070704,90
1995,-0.1191317,91
1996,-0.07738774,91
1997,-0.1574257,91
1998,0.1247108,91
1999,-0.4750889,91
2000,-0.2760553,91
2001,-0.1998819,91
2002,-0.08811904,91
2003,0.2799116,91
2004,0.04844111,91
2005,0.08494369,91
2006,-0.06424023,91
2007,-0.1508426,91
2008,-0.1772196,91
2009,-0.2301725,91
2010,-0.1537664,91
2011,-0.04246749,91
2012,0.1081966,91
2013,-0.05477706,91
2014,0.03372781,91
2015,-0.04187523,91
2016,0.1014346,91
2017,0.09528018,91
2018,0.2059138,91
2019,0.1118607,91
2020,0.04732137,91
2021,0.000107876,91
2022,-0.07590501,91
2023,-0.2133788,91
2024,-0.1390768,91
1995,0.0487783,92
1996,-0.08589777,92
1997,-0.1938907,92
1998,-0.2388455,92
1999,-0.3055919,92
2000,-0.2231815,92
